row_number,rule_name,severity,issue_type,event_id,session_id
578,Duplicate event_id,HIGH,Duplicate record,e876a84d-8f38-4ec1-8e8c-73a7918015ed,91ca5769-55df-4f3f-bf66-5ed1ebf0f5fe
621,Duplicate event_id,HIGH,Duplicate record,265602eb-adc8-4aae-8ccf-c107f349daa9,568977d1-d3ba-41d8-9a43-c24c542ff3b3
629,Duplicate event_id,HIGH,Duplicate record,a88b4dd2-f907-4092-a138-48bce501e919,d43cd6fe-dfe5-4cb7-893d-4ad9c29d21d0
646,Duplicate event_id,HIGH,Duplicate record,7ea0169b-226b-49b7-9156-cc657fb1ee0e,152c2e68-eaf4-4848-a1db-0001dc4bb379
663,Duplicate event_id,HIGH,Duplicate record,c3dc0e3e-f197-4cf1-87a6-229f4e956526,7d19ef1c-a02f-4088-8edc-24341a46e604
674,Duplicate event_id,HIGH,Duplicate record,e876a84d-8f38-4ec1-8e8c-73a7918015ed,91ca5769-55df-4f3f-bf66-5ed1ebf0f5fe
697,Duplicate event_id,HIGH,Duplicate record,a679dd73-1783-40c0-9e87-3d7800a9c461,5adc8db7-a721-45bd-bfc6-bd0dc5696671
706,Duplicate event_id,HIGH,Duplicate record,20cd648a-ebb4-4873-a7f4-065880b7e5bd,02aa29e0-973d-451b-9a72-69906cd9fdc8
713,Duplicate event_id,HIGH,Duplicate record,217c7e61-12b1-4a7e-9344-d10b9bb48990,4b6b32a6-0dc4-4cbf-9f49-6ce712a1b8f5
727,Duplicate event_id,HIGH,Duplicate record,5b990a73-0a7a-4740-ac4e-56012a0d14de,171923e7-bb5c-4723-9972-a2cdc04f06c8
762,Duplicate event_id,HIGH,Duplicate record,be2a0d00-139c-4d8c-a5b0-25304d546ce0,5cf15453-ab89-4b63-9865-7e340c15747d
773,Duplicate event_id,HIGH,Duplicate record,9aa9657a-1ae6-462b-9039-aadffbab36b7,47f50bcc-8964-4a33-8e25-e32b94dc2272
789,Duplicate event_id,HIGH,Duplicate record,e629e8b7-8cef-4081-87b0-8dfc8ee05835,1ffb0f4b-210a-4369-b076-fa9a4addfc23
790,Duplicate event_id,HIGH,Duplicate record,48248fe3-573e-4b7f-abfc-a512a96c1ca9,1614da80-8c78-4c8f-a6d8-370872e71a04
791,Duplicate event_id,HIGH,Duplicate record,e629e8b7-8cef-4081-87b0-8dfc8ee05835,1ffb0f4b-210a-4369-b076-fa9a4addfc23
796,Duplicate event_id,HIGH,Duplicate record,054b1179-edfc-4b6f-9391-596f3b2edade,8fc5573f-c966-4726-a6b5-1e7c3c67e559
806,Duplicate event_id,HIGH,Duplicate record,72373e89-074d-4930-834c-e0f7e5f43c08,dd6868a5-a36f-446a-bc9d-6645756b9dae
810,Duplicate event_id,HIGH,Duplicate record,80427119-cab7-4e2c-b786-4d2f44ec0419,26845409-3a21-4d0a-acb6-3181ce346624
834,Duplicate event_id,HIGH,Duplicate record,5b990a73-0a7a-4740-ac4e-56012a0d14de,171923e7-bb5c-4723-9972-a2cdc04f06c8
842,Duplicate event_id,HIGH,Duplicate record,143c6d0d-f04c-4dc3-b4c9-204bec1d4f5b,5cf15453-ab89-4b63-9865-7e340c15747d
861,Duplicate event_id,HIGH,Duplicate record,143c6d0d-f04c-4dc3-b4c9-204bec1d4f5b,5cf15453-ab89-4b63-9865-7e340c15747d
870,Duplicate event_id,HIGH,Duplicate record,508aec74-a29b-421e-bc5a-9c40f2833b53,eff473e5-d827-4d62-8358-291c4347eea5
880,Duplicate event_id,HIGH,Duplicate record,9dc1cbaa-6fab-42f2-beae-d02f5a9ca485,1f518004-d4db-4846-9cd3-771aab7c1906
882,Duplicate event_id,HIGH,Duplicate record,f66e6f2c-a6fe-42f0-83c4-08bd8733282b,bbe446d9-b2e1-4b26-8e7e-8353652941c8
888,Duplicate event_id,HIGH,Duplicate record,054b1179-edfc-4b6f-9391-596f3b2edade,8fc5573f-c966-4726-a6b5-1e7c3c67e559
913,Duplicate event_id,HIGH,Duplicate record,db88c723-a67d-4132-9a79-060a4b83baa4,11deaa9c-7892-4cc5-9483-7f2f02ccc096
921,Duplicate event_id,HIGH,Duplicate record,b1f6c4d4-48bb-41cd-bbe4-a036ae960fc2,bc1dd34e-e2b4-40a5-be33-17fcb448363d
941,Duplicate event_id,HIGH,Duplicate record,1a703587-afc5-4c74-b303-07d0b90904e1,10546214-6854-47d9-87b4-ef68f196ff5e
951,Duplicate event_id,HIGH,Duplicate record,27ad9091-e24c-451c-8f15-e11cc414a64e,741c3404-9813-4d95-83bb-ad66a56bf881
959,Duplicate event_id,HIGH,Duplicate record,48248fe3-573e-4b7f-abfc-a512a96c1ca9,1614da80-8c78-4c8f-a6d8-370872e71a04
972,Duplicate event_id,HIGH,Duplicate record,f66e6f2c-a6fe-42f0-83c4-08bd8733282b,bbe446d9-b2e1-4b26-8e7e-8353652941c8
989,Duplicate event_id,HIGH,Duplicate record,af15aca1-26b5-4b20-9ec2-9e64b31819d2,5528028b-7057-4a40-ba50-e829a6fd9b90
994,Duplicate event_id,HIGH,Duplicate record,80427119-cab7-4e2c-b786-4d2f44ec0419,26845409-3a21-4d0a-acb6-3181ce346624
9,Missing content_id,HIGH,Missing value,541785d7-43c9-4028-bc8f-7b515411d14b,5351ac01-c8fb-40e5-9579-8591e454d4ae
67,Missing content_id,HIGH,Missing value,088fdb07-f7d1-4e9f-88ac-04c9c771e9e5,5cf15453-ab89-4b63-9865-7e340c15747d
78,Missing content_id,HIGH,Missing value,bb586c86-b2a1-42a2-91d4-771e2ce1147b,1c56640b-c068-443f-99ee-d72b1336eb7a
102,Missing content_id,HIGH,Missing value,fa84b507-71fd-42ca-adfd-0e4e5ef8e478,13f45ef6-af9c-48aa-8c41-44265aa8982c
128,Missing content_id,HIGH,Missing value,77f29c19-67db-455c-84c4-ead61459fc8b,f38a2232-1480-42b2-a7a2-1ec680e29db5
131,Missing content_id,HIGH,Missing value,30a9de9c-9257-470d-9f7f-c48f8cd5426b,1614da80-8c78-4c8f-a6d8-370872e71a04
287,Missing content_id,HIGH,Missing value,f9643434-ddb3-4d71-b0dd-66e4fada138a,a4864430-1d67-454e-af5a-f3ab3bbe7a5a
297,Missing content_id,HIGH,Missing value,4e25262b-daaa-4a2f-8f3b-aa7bda8bd09b,6ef3e858-f966-4c8b-9963-4774521556e8
303,Missing content_id,HIGH,Missing value,ff90ad4d-55fc-4057-9aca-e00ce0160d09,9c04ff50-1681-4994-b38e-0152a07589e7
318,Missing content_id,HIGH,Missing value,ad355f6d-eaa5-4958-86e7-da1677aa03cf,d9991e15-37f6-4a7e-9d5c-ebecf8bece71
332,Missing content_id,HIGH,Missing value,89e67cc7-c0cc-4bdd-9817-82364e00e061,102c0259-ea9d-4ab6-ad58-8805b452596b
354,Missing content_id,HIGH,Missing value,dc4c27b0-e81f-44ac-b6b5-f27328b79291,5c7a0887-52db-4e93-ab86-4d6a8b257231
386,Missing content_id,HIGH,Missing value,9d905d91-5962-4225-a5d8-09f385da78cf,5adc8db7-a721-45bd-bfc6-bd0dc5696671
396,Missing content_id,HIGH,Missing value,14a5e56d-8c0e-4b58-b575-6cb5e6897416,6f6bcf1a-807c-4326-9920-2a286288152b
465,Missing content_id,HIGH,Missing value,8a3cba66-78d1-47ba-9921-add7cd100af1,bdd9c83f-ad22-4aef-9590-bf00ee9b44d2
579,Missing content_id,HIGH,Missing value,70271761-56ae-4b93-bec3-3599401a7655,f8e9cb1b-dfbb-451b-aa16-cbdc9f80bd36
678,Missing content_id,HIGH,Missing value,adbe8023-07d1-4ff1-a0df-ed7de46a4b1a,bfaa2907-b201-4afb-8089-0bf47564cd11
681,Missing content_id,HIGH,Missing value,4d497efd-15e5-40f2-bc3c-faa0afaddf07,6a02f8e2-ddb0-468b-92fa-abdeca96b274
683,Missing content_id,HIGH,Missing value,b6b745c3-3349-4c76-8a45-015c7264a07c,7289740d-52ba-4cd9-b5c4-699be2fb0bb7
702,Missing content_id,HIGH,Missing value,e9f67146-ea84-4ead-9b73-ab92e6907e80,21194207-c8aa-48b6-b518-a0b3ad98ad94
740,Missing content_id,HIGH,Missing value,e693759f-3fd4-4387-bce3-32f83b6a6607,741c3404-9813-4d95-83bb-ad66a56bf881
751,Missing content_id,HIGH,Missing value,df379004-5c86-4c27-b845-de925aab5731,34e72600-df72-46c4-91b4-9a4a6bef0e35
794,Missing content_id,HIGH,Missing value,8db35004-1062-455d-994e-66b22a7e927e,246e5067-c41b-46da-b8f1-7c98dbfb3164
844,Missing content_id,HIGH,Missing value,78dfe05b-b2c8-419f-bf90-38917b457485,3170f793-b0cd-460e-90b4-b802a35c0046
866,Missing content_id,HIGH,Missing value,ff79f9d9-78d2-48d3-8db9-22c67b3c81d6,741c3404-9813-4d95-83bb-ad66a56bf881
